neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Central Region,Kallang,1.31653,103.85768,0.0,32,0.6931471805599453,1.6094379124341003,0.22314355131420976,0.9808219178082191
West Region,Choa Chu Kang,1.38824,103.74424,1.0,50,0.6931471805599453,0.6931471805599453,0.06765864847381481,0.07123287671232877
Central Region,Novena,1.32165,103.85187,2.0,300,2.995732273553991,0.0,0.0,0.7123287671232876
Central Region,Geylang,1.31385,103.88235,1.0,33,2.9444389791664403,0.0,0.0,0.8493150684931506
Central Region,Rochor,1.30671,103.84824,2.0,160,2.70805020110221,1.3862943611198906,0.22314355131420976,0.6657534246575343
Central Region,Kallang,1.32179,103.86404,2.0,319,4.394449154672439,1.0986122886681096,0.1310282624064041,0.9808219178082191
North Region,Central Water Catchment,1.35238,103.82039,2.0,281,4.330733340286331,0.6931471805599453,0.07696104113612832,0.9808219178082191
Central Region,Rochor,1.30126,103.85136,2.0,319,3.367295829986474,0.0,0.0,0.9917808219178083
Central Region,Rochor,1.29924,103.85136,2.0,300,3.8918202981106265,0.0,0.0,0.9917808219178083
Central Region,Bukit Timah,1.32535,103.81202,1.0,49,1.791759469228055,0.6931471805599453,0.07696104113612832,0.0
Central Region,Downtown Core,1.27463,103.84528,2.0,200,1.3862943611198906,2.5649493574615367,0.5653138090500605,0.0
Central Region,Novena,1.32144,103.85294,1.0,50,3.4339872044851463,1.0986122886681096,0.15700374880966475,0.7972602739726028
East Region,Bedok,1.31947,103.91352,1.0,90,1.0986122886681096,0.6931471805599453,0.058268908123975775,0.0
Central Region,Queenstown,1.28087,103.78549,1.0,87,2.772588722239781,0.6931471805599453,0.49469624183610705,0.989041095890411
Central Region,Rochor,1.30407,103.85463,1.0,131,0.6931471805599453,1.0986122886681096,0.20701416938432615,0.8876712328767123
Central Region,Marine Parade,1.30417,103.90081,1.0,31,0.6931471805599453,2.70805020110221,0.7793248768009976,0.21095890410958903
Central Region,Outram,1.28398,103.84301,1.0,57,3.367295829986474,0.6931471805599453,0.16551443847757338,0.9753424657534246
North-East Region,Punggol,1.40975,103.89916,1.0,39,0.6931471805599453,0.6931471805599453,0.16551443847757338,0.0
Central Region,Outram,1.27864,103.84342,2.0,106,2.0794415416798357,2.772588722239781,0.7561219797213337,0.9945205479452055
Central Region,Novena,1.31975,103.852,1.0,60,3.4339872044851463,0.0,0.0,0.821917808219178
Central Region,Novena,1.32014,103.85187,1.0,40,3.4339872044851463,0.0,0.0,0.7397260273972602
Central Region,River Valley,1.29698,103.84021,2.0,231,2.0794415416798357,2.4849066497880004,0.5766133643039938,0.8767123287671232
Central Region,Kallang,1.31588,103.85519,2.0,219,1.0986122886681096,3.4657359027997265,1.11514159061932,0.2821917808219178
Central Region,Downtown Core,1.27764,103.84793,2.0,300,1.0986122886681096,2.639057329615259,0.6205764877251099,0.6493150684931507
Central Region,Downtown Core,1.27575,103.84732,2.0,300,1.6094379124341003,2.4849066497880004,0.5423242908253616,0.9534246575342465
Central Region,River Valley,1.29841,103.83705,1.0,139,1.9459101490553132,0.0,0.0,0.821917808219178
North-East Region,Sengkang,1.39085,103.90747,1.0,33,1.0986122886681096,3.713572066704308,1.252762968495368,0.0
Central Region,Kallang,1.30982,103.86189,0.0,26,0.6931471805599453,1.3862943611198906,0.9820784724121581,0.9561643835616438
Central Region,Kallang,1.31412,103.85403,2.0,244,1.0986122886681096,1.791759469228055,0.2776317365982795,0.0
Central Region,Outram,1.2818,103.84501,2.0,175,1.3862943611198906,3.332204510175204,1.0188473201992472,0.06575342465753425
Central Region,Rochor,1.29961,103.84975,2.0,300,2.0794415416798357,1.0986122886681096,0.12221763272424921,0.6986301369863014
Central Region,Kallang,1.31957,103.86404,2.0,287,2.0794415416798357,1.9459101490553132,0.3293037471426004,0.7232876712328767
Central Region,Kallang,1.32022,103.86296,2.0,287,2.0794415416798357,1.3862943611198906,0.18232155679395462,0.7178082191780822
Central Region,Newton,1.30582,103.84645,2.0,128,2.772588722239781,0.6931471805599453,0.07696104113612832,1.0
Central Region,Museum,1.29719,103.85027,1.0,60,1.791759469228055,1.3862943611198906,0.2151113796169455,0.12328767123287672
North-East Region,Serangoon,1.35274,103.86147,1.0,78,1.791759469228055,2.5649493574615367,0.7030975114131134,0.3643835616438356
Central Region,Newton,1.30598,103.83917,1.0,87,3.4339872044851463,1.0986122886681096,0.12221763272424921,0.24657534246575344
North-East Region,Hougang,1.3761,103.87994,2.0,310,1.9459101490553132,1.791759469228055,0.43178241642553783,0.989041095890411
Central Region,Rochor,1.29783,103.85199,1.0,125,0.6931471805599453,1.9459101490553132,0.3435897043900769,1.0
West Region,Jurong West,1.34115,103.70638,1.0,92,1.0986122886681096,0.0,0.0,0.9972602739726028
East Region,Bedok,1.32411,103.9153,1.0,93,1.3862943611198906,3.4965075614664802,1.1346227261911428,0.005479452054794521
Central Region,Marine Parade,1.3062,103.89987,1.0,219,1.3862943611198906,0.0,0.0,0.9945205479452055
Central Region,Museum,1.29663,103.85146,1.0,125,0.6931471805599453,2.5649493574615367,0.5653138090500605,0.9808219178082191
Central Region,Rochor,1.29798,103.85126,1.0,125,0.6931471805599453,1.3862943611198906,0.1988508587451652,1.0
Central Region,Museum,1.29686,103.85135,1.0,125,0.6931471805599453,1.0986122886681096,0.23111172096338664,1.0
Central Region,Downtown Core,1.29598,103.8534,1.0,125,0.6931471805599453,0.0,0.0,0.9917808219178083
Central Region,Downtown Core,1.29675,103.85354,1.0,125,0.6931471805599453,1.3862943611198906,0.23111172096338664,0.9945205479452055
Central Region,Museum,1.29612,103.85164,1.0,106,0.6931471805599453,1.6094379124341003,0.23901690047049992,0.9972602739726028
Central Region,Rochor,1.29816,103.8517,1.0,106,0.6931471805599453,0.0,0.0,0.9972602739726028
Central Region,Rochor,1.29817,103.85343,1.0,106,0.6931471805599453,0.0,0.0,0.9972602739726028
Central Region,Rochor,1.29786,103.85125,1.0,135,0.6931471805599453,0.0,0.0,0.9972602739726028
Central Region,Singapore River,1.28849,103.84819,0.0,69,0.6931471805599453,0.0,0.0,0.7287671232876712
